word,pos,ipa,meaning,image,definition
mention,/v-n/,/ˈmenʃn̩/,đưa ra,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457028/anki_600/puyiqfvzngvlxb3hd4st.jpg,"to speak about someone or something, esp. briefly and without giving much detail"
petition,/n-v/,/pəˈtɪʃn̩/,đơn (pháp lý),https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457029/anki_600/hgontfuwvx427dpkepgh.jpg,a document signed by a large number of people requesting some action from the government or another authority; to make a formal request;
proof,/n-v/,/pruːf/,bằng chứng; xử lý,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457030/anki_600/icexxplmtjtqqulodg8c.jpg,facts or documents that can be used to show that something is true; to look for errors;
registered,/adj/,/ˈredʒɪstəd/,đã vào sổ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457033/anki_600/gridxbfwbvcafvaivawp.jpg,recorded on an official list
revise,/v/,/rɪˈvaɪz/,sửa lại,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457034/anki_600/w9hwwqahevti96fx63l0.jpg,"to change or correct something, esp. a piece of writing"
failure,/n/,&nbsp;/ˈfeɪljər/,sự thất bại,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457035/anki_600/tr0mxx79tbgaugdh4ibo.jpg,a lack of success in doing something; the fact of something not working as it should
abundant,/adj/,/əˈbʌndənt/,thừa thãi; nhiều,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457039/anki_600/lu61yddcqpvyme9hnc1l.jpg,more than enough; a lot of; plentiful
accomplishment,/n/,/əˈkʌmplɪʃmənt/,Việc đã hoàn thành,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457040/anki_600/sb7nmwh4rkwng0kmwpys.jpg,something done or finished successfully;  achievement
bring together,/v/,/brɪŋ təˈɡeðə/,gom lại; nhóm lại,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457041/anki_600/vxtvjlprkdmzl7ipmbc0.jpg,"to join, to gather"
candidate,/n/,/ˈkændɪdət/,Người dự thi; thí sinh,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457043/anki_600/n347x5ausjojwkqfegsv.jpg,a person who is competing to get a job or elected to a position
come up with,/v/,/kʌm ʌp wɪð/,trù tính,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457044/anki_600/s1zgwowx6a8f2iysst7k.jpg,to suggest or think of an idea or plan
commensurate,/adj/,/kəˈmenʃərət/,(+with) xứng với,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457046/anki_600/ul5entujgruazi867b8m.jpg,suitable in amount or quality compared to something else; matching in degree;
match,/v-n/,/mætʃ/,<div>(n): ‹cái› xứng nhau,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457047/anki_600/uveazjnaw1cyuiiuhiqe.jpg,"to be equal to another person or thing in some quality; a person or thing that is equal to another person or thing in strength, speed, or quality"
profile,/n/,/ˈprəʊfaɪl/,mô tả sơ lược,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457049/anki_600/qlnmiza3bsnqhyg9nsqc.jpg,"a short description of someone's life, work, character, etc a short description of something (like job)"
qualification,/n/,/ˌkwɒlɪfɪˈkeɪʃn̩z/,<div>(n): tư cách,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457050/anki_600/swopgohzr7pzyzr10gmc.jpg,"an ability, characteristic, or experience that makes you suitable for a particular job or activity; an official record showing that you have finished a training course or have the necessary skills"
recruit,/v-n/,/rɪˈkruːt/,tuyển dụng; thành viên mới,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457051/anki_600/e6yhbwx4qcwdwsyuxx4s.jpg,to persuade someone to become a new member of an organization; a new member of an organization
submit,/ v/,/səbˈmɪt/,đệ trình,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457052/anki_600/puik2tjitmz6voye81p0.gif,to give or offer something for a decision to be made by others
time-consuming,/adj/,/ˈtaɪmkənˈsjuːmɪŋ/,cần nhiều thời jan,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457054/anki_600/jes9xvhfhyscjjjp9n8h.jpg,taking up a lot of time
ability,/n/,/əˈbɪləti/,khả năng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457054/anki_600/ffoben2ktv9fhqcwrenk.jpg,the mental or physical power or skill needed to do something
apply,/v/,/əˈplaɪ/,nộp đơn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457056/anki_600/yiqlbradnaqehv2i7vhx.jpg,"to request something, usually officially, esp. by writing or by sending in a form;"
background,/n/,/ˈbækɡraʊnd/,<div>kiến thức,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457057/anki_600/ghsma5li0al8sk6sagir.jpg,"the things that have made you into the person you are, esp. family, experience, and education"
be&nbsp;ready for,/v/,/bi ˈredi fɔː/,sẵn sàng cho…,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457058/anki_600/vi6zamoteptu6jnhj7kf.jpg,to be prepared
call in,/v/,/kɔːl ɪn/,mời tới,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457059/anki_600/rldmx5fbrqbic6doowlv.jpg,to phone somebody or a place  in order to give or get information
confidence,/n/,/ˈkɒnfɪdəns/,sự tự tin;&nbsp;<div>sự tin tưởng;</div><div>chuyện riêng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457060/anki_600/rpsp1181ixcxvr2fco2c.jpg,a feeling of trust in yourself; a feeling of trust in someone or something; a feeling of trust that a secret will be kept
constantly,adv,/ˈkɒnstəntli/,luôn luôn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457062/anki_600/mnv2oufrkahiqpui6wyi.jpg,all the time or often
expert,/n/,/ˈekspɜːt/,nhà chuyên môn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457066/anki_600/ccvklf8ric3sb7q2gkxx.jpg,a person having a high level of knowledge or skill in a particular subject
follow up,/v-n/,/ˈfɒləʊ ʌp/,tiếp tục,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457070/anki_600/wju9kkaij6fotdzk7zci.jpg,"v., to take additional steps, to continue; n., the continuation of a previous action"
hesitate,/v/,/ˈhezɪteɪt/,do dự,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457073/anki_600/tx4huhntpig9m0d6qcca.jpg,"to pause before you do or say something, often because you are uncertain or nervous about it"
present,/v/,/prɪˈzent/,<div>(v): trình bày,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457074/anki_600/wkbcvuavsjlpzit5obsz.jpg,"to give, show, provide, or make known"
presentation,/n/,/ˌpreznˈteɪʃn̩/,sự trình diễn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457079/anki_600/z8nvklzpnyiu26opn0ku.jpg,the act of giving or showing something; the way in which something is given or shown
weakness,/n/,/ˈwiːknəs/,điểm yếu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457081/anki_600/j006faqptkqwctkh2dzz.jpg,lack of strength or energy; a fault in someone’s character
conduct,/v-n/,/kənˈdʌkt/,<div><div>(n): hạnh kiểm,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457082/anki_600/jsilarmosrh9l9ofnsmi.jpg,to organize and direct a particular activity; behavior; to behave;
generate,/v/,/ˈdʒenəreɪt/,sinh ra,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457083/anki_600/fqitu50nan8nviewulj0.jpg,"to cause to exist; to create, to produce;"
hire,/v/,/ˈhaɪə/,(v) : thuê,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457085/anki_600/izhftu7xocz2lp0jfctx.jpg,to start to employ someone; to offer a job or position noun : an employee
keep up with,/v/,/kiːp ʌp wɪð/,giữ cân bằng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457086/anki_600/gbkhfkrjytn2dshn87bc.jpg,to stay equal with
look up to,/v/,/lʊk ʌp tuː/,Khâm phục,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457087/anki_600/tiafkdbtoww4qzuoznvj.jpg,to admire and respect someone; to think highly of
mentor,/n/,/ˈmentɔː/,người cố vấn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457089/anki_600/vflsbxjq2aqt1conr09e.jpg,"a person who gives a younger or less experienced person help and advice over a period of time, especially at work or school"
on track,/adj/,/ɒn træk/,&nbsp;tập trung vào (focused); đúng thời gian đã định (on schedule);,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457091/anki_600/barwdosfvjptd5lwd8tr.jpg,on schedule;  focused
reject,/v/,/rɪˈdʒekt/,(n): đồ thừa,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457092/anki_600/xg4mb6ebydrxrf4e17us.jpg,"n., something that has been turned down; v., to turn down; to say no, to not accept, to refuse"
set up,/v/,/set ʌp/,(v,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457094/anki_600/gghgnfnxx94h3ez9tm4b.jpg,"adj., established, arranged; v., to establish, to arrange"
success,/n/,/səkˈses/,thành công,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457101/anki_600/fd6odxai7gzgfchdjufu.jpg,the achieving of desired results; an accomplishment
training,/n/,/ˈtreɪnɪŋ/,sự đào tạo,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457103/anki_600/cdvwmaks4ol9fuet2mpo.jpg,the process of learning the skills you need to do a particular job or activity
update,/v-n/,/ˌʌpˈdeɪt/,cập nhật,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457105/anki_600/ic3gmf2tfmghwmchhasj.jpg,the latest information to give someone the most recent information; to make something more modern or suitable for use now by adding new information or changing its design;
aware,/adj/,/əˈweə/,có kiến thức hoặc nhận thức về ai/cái gì,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457108/anki_600/diui0fnkbdbwtqxjircq.jpg,knowing that something exists
basis,/n/,/ˈbeɪsɪs/,nền tảng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457132/anki_600/fvtczas7zmomjhdeike5.jpg,"the most important facts, ideas;"
be&nbsp;aware of,/v/,/bi əˈweər ɒv/,nhận biết,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457134/anki_600/iqebfnz9zsjpaomif9ko.jpg,"to be conscious of, to be knowledgeable about"
benefit,/n/,/ˈbenɪfɪts/,<div>(n): lợi ích,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457140/anki_600/uthvqvigz0rllfudka2w.jpg,"an advantage such as medical insurance, life insurance, and sick pay, that employees receive from their employer in addition to salary; to be helped by something or to help someone"
compensate,/v/,/ˈkɒmpənseɪt/,bù,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457143/anki_600/k0iwuf3ycdt4neoluokv.jpg,"to pay someone money in exchange for something lost or damaged, or for some inconvenience like overtime-work"
delicate,/adj/,/ˈdelɪkət/,nhạy bén,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457144/anki_600/wveqzdr4o8tjqwxmp9ja.jpg,needing to be dealt with carefully in order to avoid causing trouble or offense
eligible,/adj/,/ˈelɪdʒəbl̩/,đủ tư cách,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457145/anki_600/lhcj0nn5zyigxept2bzk.jpg,having the necessary qualities or fulfilling the necessary conditions
flexibly,/adv/,/'fleksəbli/&nbsp;,linh hoạt,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457146/anki_600/qpm1j2gg9vrr5cactqql.jpg,able to change or be changed easily according to the situation
negotiate,/v/,/nɪˈɡəʊʃɪeɪt/,đàm phán,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457151/anki_600/gw6cblzxnzdo2hga7af4.jpg,to have formal discussions with someone in order to reach an agreement
raise,/v-n/,/reɪz/,tăng lên,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457152/anki_600/wbdvn06ixoetmnp3j4k7.jpg,to cause something to be lifted up or become higher; an increase in the amount money you earn
retire,/v/,/rɪˈtaɪə/,nghỉ hưu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457153/anki_600/wbb0nkbkxvrieagsnra0.jpg,to leave your job or stop working because of old age or ill health
vested,/adj/,/ˈvestɪd/,được quyền,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457157/anki_600/rhj3xk0oa1veiq89gf4b.jpg,"Absolute, authorized"
wage,/n/,/weɪdʒ/,tiền công,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457158/anki_600/lclonj6h3p8csqtxr62y.jpg,"the money paid for work done, usually hourly"
achieve,/v/,/əˈtʃiːv/,giành được,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457159/anki_600/zawhkk3urrizmjdmi3t3.jpg,"to succeed in finishing something or reaching an aim, especially after a lot of work or effort"
contribute,/v/,/kənˈtrɪbjuːt/,đóng góp,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457161/anki_600/tn64gwy3wfzwzpcu88yy.jpg,to help by providing money or support
dedication,/n/,/ˌdedɪˈkeɪʃn̩/,sự cống hiến,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457162/anki_600/h48lmkw6nx7turwh1bp0.jpg,the activity of giving a lot of your energy and time to something you think is important
look forward to,/v/,/lʊk ˈfɔːwəd tuː/,chờ đợi,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457163/anki_600/cuevek1iac49nzsspuyr.jpg,to feel pleased and excited about something that is going to happen
look to,/v/,/lʊkt tuː/,phụ thuộc vào,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457164/anki_600/ywigmba563pufsj7ont9.jpg,"to depend on , to rely on"
loyal,/adj/,/ˈlɔɪəl/,trung thành,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457166/anki_600/khqmraysldzoxhqm6ea8.jpg,firm and not changing in your relation with or in your support for a person or an organization
merit,/n/,/ˈmerɪt/,giá trị (cao,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457173/anki_600/zthvnccuc88tgutrfq9u.jpg,"the quality of being good and deserving praise, or a good quality"
obvious,/adj/,/ˈɒbvɪəs/,rõ ràng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457174/anki_600/hwsy8ubj1w2gec74uagj.jpg,"easily seen, recognized, or understood"
productive,/adj/,/prəˈdʌktɪv/,năng suất,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456781/anki_600/vheb9juj2dx22hdic9eb.jpg,causing or providing a good result or a large amount of something
promote,/v/,/prəˈməʊt/,đề đạt,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457175/anki_600/esas7w3ermqvyt6hs1bn.jpg,to advance someone to a more important rank or position; to advertise something in order to sell it; to encourage or support something becoming successful
recognition,/n/,/ˌrekəɡˈnɪʃn̩/,sự công nhận,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457177/anki_600/unjihoaleqskx9kmmivv.jpg,"credit, praise for doing something well"
value,/n/,/ˈvæljuː/,coi trọng <sub>(không dùng ở present continuous tense)</sub>,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457184/anki_600/mdhkybqe3at0xqtptlyz.jpg,to state the worth of something; to consider something as important and worth having
bargain,/v-n/,/ˈbɑːɡɪn/,mặc cả,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457184/anki_600/rxsipyvxxnwhllr7dusr.jpg,ask someone to sell something for a price that is lower than usual or lower than its value; an agreement between two people or groups in which each promises to do something in exchange for something else
bear,/v/,/beər/,chịu đựng;&nbsp;mang,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457185/anki_600/lfbq6egz9a9xoxqijx2z.jpg,"to accept something painful or unpleasant with determination and strength; to carry or bring something; to hold or support something; to have a tolerance for, to endure;"
behaviour,/n/,/bɪˈheɪvjə/,thái độ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457186/anki_600/dnostpp9fkyocafxecr0.jpg,the way that someone or something behaves in a particular situation
checkout,/n/,/ˈtʃekaʊt/,quầy thanh toán;&nbsp;thanh toán;&nbsp;<div>(việc/thời gian/nơi chốn) thanh toán để rời đi (ở siêu thị,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457187/anki_600/ngnkcsqytz8p5z10iqvl.jpg,the act of leaving a hotel and paying your bill; the place in a (large) shop where you pay for your goods; the place on a website where you order and pay for goods;
comfort,/n/,/ˈkʌmfət/,thoải mái,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457188/anki_600/jsmtndmyn6u9kenob7zm.jpg,"to make someone feel better when they are sad or worried; the pleasant and satisfying feeling of being physically or mentally free from pain and suffering, or something that provides this feeling;"
expand,/v/,/ɪkˈspænd/,nới rộng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457189/anki_600/vzblw6nsldewxodof9fv.jpg,"to increase the size, volume, quantity, or scope of; to enlarge; to increase in size, number, or importance, or to make something increase in this way;"
explore,/v/,/ɪkˈsplɔː/,thăm dò,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457191/anki_600/nepowhanthlxpldbj3aw.jpg,to try to discover; learn about; to travel to a new place to learn about it or become familiar with it
item,/n/,/ˈaɪtəm/,mặt hàng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457192/anki_600/dwon9poelffkkvqtrgmm.jpg,one thing that is a part of a list or a collection; a particular thing considered as one among others of its type
mandatory,/adj/,UK /'mændətr̩i/ &nbsp; &nbsp;US /'mændətɔːri/&nbsp;,(thuộc) bắt buộc,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457193/anki_600/y0yhyklh2v5pjb0jmu8o.jpg,"an adjective to describe something that must be done, usually because the law states that it is necessary"
merchandise,/n-v/,/ˈmɜːtʃəndaɪz/,(n): hàng hóa; (v): buôn bán,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457199/anki_600/wxxye5jqmorgbjhsdtff.jpg,goods that are bought and sold; to encourage the sale of goods by advertising them or by making certain that they are noticed;
strict,/adj/,/strɪkt/,chặt chẽ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457201/anki_600/jtip32jydgwgbolw06w4.jpg,limiting people’s freedom to behave as they wish beyond what is usual
trend,/n/,/trend/,xu hướng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457203/anki_600/cjgfgwbsbq1lzyml7kwa.jpg,"a general development or change in a situation or in the way that people are behaving; a new development in clothing, make-up, etc."
diversify,/adj/,/daiˈvɜːs/,đa dạng hóa,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457204/anki_600/sdb7ikvvkxmjk0nuutql.jpg,"to start to include more different types or things; to become varied or different, or to make something varied or different; to start making new products or offering new services;"
enterprise,/n/,/ˈentəpraiz/,<div>sự nghiệp,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457210/anki_600/umepons79w20ckptpgfw.jpg,"an organization, esp. a business, or a difficult and important plan, esp. one that will earn money"
essentially,/adv/,/ɪˈsen.ʃəl.i/,<div>(adv): về bản chất,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457211/anki_600/wq47q7jryhxok53sbz7t.jpg,"relating to the most important characteristics or ideas of something; necessarily, basically, finally;"
everyday,/adj/,/ˈevrɪdeɪ/,thông thường,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457212/anki_600/gbtr3gzobf74wrpotnqh.jpg,"routine, common, ordinary"
function,/v/,/ˈfʌŋkʃn̩/,<div>(n): hàm số,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457213/anki_600/ekas9qbh4zthcgcjnjp2.jpg,"a relationship between two sets in mathematics; a purpose or duty, or the way something or someone works; to perform the duties of a particular person; to perform the purpose of a particular thing;"
maintain,/v/,/meɪnˈteɪn/,bảo quản,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457214/anki_600/hiur5y7thchunof5p0uv.jpg,"to keep something in good condition; to continue to have; to keep in existence, or not allow to become less;"
prerequisite,/n/,/ˌpriːˈrekwɪzɪt/,<div>điều tiên quyết,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457215/anki_600/knrq5plg3xhgdfixemof.jpg,something that must exist or happen before something else can exist or happen
quality,/n/,/ˈkwɒlɪti/,chất lượng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457216/anki_600/syakwdrrdawhg1calcgf.jpg,"the degree of excellence of something, often a high degree of it; how good or bad something is; a characteristic or feature of someone or something;"
obtain,/adj/,/smuːð/,đạt được,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457219/anki_600/jdua4luffap5rxxgjgdf.jpg,"to get something, esp. by a planned effort; to acquire"
smooth,/adj/,/smuːð/,<div>&nbsp;nhẵn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457221/anki_600/ocmbdvtpbo1zsdtkrbpk.jpg,"having a surface or substance that is perfectly regular and has no holes or lumps or areas that rise or fall suddenly; happening without any sudden changes, interruption, inconvenience, or difficulty polite, confident, and persuasive, esp. in a way that lacks sincerity"
source,/n/,/sɔːs/,nguồn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457222/anki_600/qwgi5j0wyqtzaskg4p0o.jpg,"something or someone that causes or produces something, or is the origin of it"
stationery,/n/,/ˈsteɪʃənri/,đồ dùng văn phòng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457226/anki_600/msjto4wunsntz8aeh3yd.jpg,"the things needed for writing, such as paper, pens, pencils, and envelopes. good quality paper for writing letters on and matching envelopes;"
accurately,/adv/,/ˈækjʊrətli/&nbsp;,(một cách) chính xác,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457226/anki_600/ncp6b0nnagw49rhh7jfi.jpg,correctly and without making any mistakes; correctly; without errors
carrier,/n/,/ˈkærɪə/,người hoặc một hãng vận chuyển,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457233/anki_600/pqpvt8admx1akfsklse5.jpg,a person or business that transports passengers or goods
catalogue,/n-v/,/ˈkætəlɒɡ/,ca ta lô; lập danh mục,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457234/anki_600/wvnvoodfgovnxf8ai2m7.jpg,"a book that contains a list of all the products that you can buy from a company; to record something, especially in a list"
fulfill,/v/,/fʊlˈfɪl/,thực hiện,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457235/anki_600/dnlg0olbknhfgbljfeey.jpg,"to succeed in developing abilities or qualities to their fullest degree; to do something as promised or intended, or to satisfy your hopes or expectations;"
integral,/adj/,/ˈɪntɪɡrəl/,tích phân;tích hợp,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457236/anki_600/bcb3vqll1qkf9i8xbuhu.jpg,"necessary and important as a part of a whole, or contained within it"
inventory,/n/,/ˈɪnvəntr̩i/,<div>(n): (sự/bản) kiểm kê,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457238/anki_600/j6pxutn1zd9htoczoheu.jpg,"a detailed list of all the things in a place; the amount of goods a shop has, or the value of them; the counting of all the goods, materials, etc. kept in a place such as a shop;"
minimize,/v/,/ˈmɪnɪmaɪz/,giảm tới mức tối thiểu; làm giảm tầm quan trọng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457244/anki_600/kugx1wakq0ncm0eqario.jpg,to reduce something to the smallest possible level or amount; to make something less important or smaller than it really is
on-hand,/adj/,/ɒn hænd/,có thể dùng được,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457254/anki_600/wquixajekruvqxpl5mzx.jpg,ready and available; in stock
remember,/v/,/rɪˈmembə/,nhớ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457256/anki_600/nqpemxvo2xl8wk70y3ca.jpg,to be able to bring a piece of information back into your mind/memory; to think of again; to retain in the memory;
ship,/v/,/ʃɪp/,vận chuyển,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457263/anki_600/d4md3gyyetsv3rylqb3y.jpg,"to transport something or someone by air, train, boat, or truck"
shipper,/n  /,/ˈʃɪpə/,người chở hàng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457265/anki_600/run9djurpludg5ozkx42.jpg,a person or company whose job is to organize the sending of goods from one place to another; sender;
sufficient,/adj/,/səˈfɪʃnt/,đủ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457267/anki_600/d1ugf7bxu88fz4m0jlcm.jpg,enough for a particular purpose;
supply,/v-n/,/səˈplaɪ/,cung cấp,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457268/anki_600/jufx2bipffupntdrhycx.jpg,to provide something that is needed or wanted; an amount of something that is available for use
charge,/v-n/,/tʃɑːdʒ/,<div>(n): tiền phải trả,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457268/anki_600/qmmgeq1dhdzhdusc2rxk.jpg,an expense or a cost; to demand payment; to buy something and agree to pay for it later;
compile,/v/,/kəmˈpaɪl/,thu thập,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457269/anki_600/qplcrpqygglk0afpfony.jpg,"to collect information from a variety of places and arrange it in a book, report, or list"
customer,/n/,/ˈkʌstəmə/,khách hàng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457271/anki_600/ydbtolky4vrbbxc1aivz.jpg,one who purchases a commodity or service
discount,/n-v/,/ˈdɪskaʊnt/,giảm giá,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457271/anki_600/h2uvsvyyeeecewirhjwu.jpg,a reduction in the usual price for something; to reduce the usual price for something;
efficient,/adj/,/ɪˈfɪʃnt/,hiệu quả,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457272/anki_600/d5pehigbnmhq93of1lp4.jpg,working or operating in a way that gets the results you want with minimum waste
estimate,/v-n/,/ˈestɪmeɪt/,ước lượng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457273/anki_600/cporna3z8frbxmt7ej08.jpg,"to guess the size, cost, etc., of something; a judgment or calculation of approximately how large or how great something is;"
impose,/v/,/ɪmˈpəʊz/,áp đặt,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457274/anki_600/pxz0afqpxlc2xxtjkash.jpg,"to establish something as a rule to be obeyed, or to force the acceptance of something;"
mistake,/ n/,/mɪˈsteɪk/,<div>&nbsp;(n): lỗi,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457275/anki_600/zd14j1p21xrhxhofyby1.jpg,an action or decision that is wrong or produces a result that is not correct or not intended;
order,/n/,/ˈɔːdə/,<div>(n): thứ tự,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457275/anki_600/dfhdpkmqwskbpxxs2uno.jpg,"a request made to purchase something ; to tell someone to do something; to ask for something to be made, supplied, or delivered;"
promptly,/adv/,/ˈprɒmptli/,mau lẹ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457276/anki_600/cdbmh9yjjouadgpzslx1.jpg,"quickly, without delay, or at the arranged time"
rectify,/v/,/ˈrektɪfaɪ/,chỉnh lưu; sửa lại cho đúng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457277/anki_600/htfmxm518bst5zsoknip.jpg,to deal with (resolve) a problem or mistake so that it no longer exists
terms,/n/,/tɜːmz/,điều kiện,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457278/anki_600/qf9ise9gmixvtmf8lumj.jpg,"the conditions that are part of an agreement or arrangement, or the features of an activity or idea"
adjustment,/v/,/əˈdʒʌst.mənt/,(n): điều chỉnh,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457279/anki_600/t3vlxyi2ktiryxx1n47y.jpg,a small change; a change in order to match;
automatically,/adv/,/,(một cách) tự động,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457279/anki_600/m0pazatxsyl2fmpc7mrq.jpg,without human control; independently;
crucial,/adj/,/ˈkruːʃl̩/,cốt yếu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457282/anki_600/ikyunlnyijqh13rbq041.jpg,(of a decision or event) extremely important because many other things depend on it
